state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
ca,20092010,lower,AB 1,"An act to amend Section 44277 of the Education Code, relating to teachers.",2010-07-09 17:25:14.766000,2012-04-06 17:16:56.808000,bill,Education
ca,20092010,lower,AB 10,"An act to add Section 8314.4 to the Government Code, relating to public funds.",2010-07-09 17:25:19.528000,2012-04-06 17:16:56.818000,bill,Public Services
ca,20092010,lower,AB 100,"An act to amend Sections 116094 and 116095 of, to add Section 116096 to, and to repeal Chapter 6 (commencing with Section 116091) of Part 10 of Division 104 of, the Health and Safety Code, relating to school athletics.",2010-07-09 17:25:23.366000,2012-04-06 17:16:56.828000,bill|fiscal committee,
ca,20092010,lower,AB 1000,"An act to amend Sections 226, 233, and 234 of, and to add Article 1.5 (commencing with Section 245) to Chapter 1 of Part 1 of Division 2 of, the Labor Code, relating to employment.",2010-07-09 17:25:23.456000,2012-04-06 17:16:56.838000,bill|fiscal committee,Labor and Employment
ca,20092010,lower,AB 1001,"An act to amend Sections 12920, 12921, 12926, 12940, and 12955.2 of the Government Code, relating to employment.",2010-07-09 17:25:23.533000,2012-04-06 17:16:56.849000,bill|fiscal committee,Labor and Employment
ca,20092010,lower,AB 1002,"An act to amend Section 186.8 of, and to add Section 236.4 to, the Penal Code, relating to human trafficking.",2010-07-09 17:25:23.593000,2012-04-06 17:16:56.859000,bill|fiscal committee,Crime
ca,20092010,lower,AB 1003,"An act to amend Section 13823.17 of the Penal Code, relating to domestic violence.",2010-07-09 17:25:23.660000,2012-04-06 17:16:56.872000,bill|fiscal committee,Social Issues|Crime
ca,20092010,lower,AB 1004,"An act to amend Sections 48000, 48010, 48012, and 48013 of the Public Resources Code, relating to solid waste.",2010-07-09 17:25:23.700000,2012-04-06 17:16:56.891000,bill|fiscal committee,
ca,20092010,lower,AB 1005,"An act to add Sections 5017.1, 5017.5, and 5103.5 to the Business and Professions Code, relating to accountants.",2010-07-09 17:25:23.772000,2012-04-06 17:16:56.909000,bill|fiscal committee,Business and Consumers
ca,20092010,lower,AB 1006,"An act to add Section 15817.5 to the Government Code, relating to state buildings.",2010-07-09 17:25:23.837000,2012-04-06 17:16:56.925000,bill|fiscal committee,Housing and Property|State Agencies
ca,20092010,lower,AB 1007,"An act to amend Section 35012 of the Education Code, relating to governing boards.",2010-07-09 17:25:23.880000,2012-04-06 17:16:56.945000,bill|fiscal committee|local program,Education
ca,20092010,lower,AB 1008,"An act to add and repeal Article 11.3 (commencing with Section 18810) of Chapter 3 of Part 10.2 of Division 2 of the Revenue and Taxation Code, relating to taxpayer contributions.",2010-07-09 17:25:23.940000,2012-04-06 17:16:56.960000,bill|fiscal committee,
ca,20092010,lower,AB 1009,"An act to amend Sections 8869.82, 91501, 91502, 91502.1, 91503, 91504, 91527, 91530, 91531, 91533, 91538, 91539, 91541, 91555, 91559, 91571, and 91573 of the Government Code, relating to bonds, and declaring the urgency thereof, to take effect immediately.",2010-07-09 17:25:24.020000,2012-04-06 17:16:56.979000,bill|fiscal committee|urgency,Commerce
ca,20092010,lower,AB 101,"An act to amend Section 3010 of the Elections Code, relating to elections.",2010-07-09 17:25:24.119000,2012-04-06 17:16:56.998000,bill|fiscal committee|local program,Campaign Finance and Election Issues
ca,20092010,lower,AB 1010,"An act to add Section 22575.5 to the Business and Professions Code, relating to the Internet.",2010-07-09 17:25:24.175000,2012-04-06 17:16:57.011000,bill,
ca,20092010,lower,AB 1011,"An act to amend Sections 926.1, 926.2, and 12939 of the Insurance Code, relating to insurer investment.",2010-07-09 17:25:24.235000,2012-04-06 17:16:57.036000,bill|fiscal committee,
ca,20092010,lower,AB 1012,"An act to amend Sections 2069 and 2099 of, and to add Section 2840 to, the Fish and Game Code, and to amend Section 25524 of, to add Section 25619 to, and to add and repeal Sections 21081.8 and 21097.5 of, the Public Resources Code, relating to renewable energy resources, and making an appropriation therefor.",2010-07-09 17:25:24.284000,2012-04-06 17:16:57.070000,bill|appropriation|fiscal committee,Energy
ca,20092010,lower,AB 1013,"An act to add Section 3021 to the Penal Code, relating to corrections.",2010-07-09 17:25:24.352000,2012-04-06 17:16:57.084000,bill|fiscal committee,Military|Crime
ca,20092010,lower,AB 1014,"An act to add Section 12804.13 to the Vehicle Code, relating to vehicles.",2010-07-09 17:25:24.412000,2012-04-06 17:16:57.098000,bill|fiscal committee|local program,
