state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
nv,2010Special26,lower,AB 1,Requires certain employers to electronically transfer to the State certain income withheld from employees pursuant to support orders. (BDR 3-10),2011-02-04 20:37:12.329000,2011-02-04 20:37:12.329000,bill,
nv,2010Special26,lower,AB 2,Authorizes deviation from the required hours of operation for county offices under certain circumstances. (BDR 23-14),2011-02-04 20:37:12.336000,2011-02-04 20:37:12.336000,bill,
nv,2010Special26,lower,AB 3,Revises provisions relating to state financial administration. (BDR 10-28),2011-02-04 20:37:12.342000,2011-02-04 20:37:12.342000,bill,
nv,2010Special26,lower,AB 4,Temporarily provides flexibility for school districts from the requirements of class-size reduction. (BDR S-37),2011-02-04 20:37:12.349000,2011-02-04 20:37:12.349000,bill,
nv,2010Special26,lower,AB 5,"Provides a temporary waiver from the minimum textbook expenditure requirements for all school districts, charter schools and university schools for profoundly gifted pupils. (BDR S-17)",2011-02-04 20:37:12.355000,2011-02-04 20:37:12.355000,bill,
nv,2010Special26,lower,AB 6,"Reduces state expenditures, increases certain fees and makes various other changes relating to the funding of state and local government. (BDR 31-43)",2011-02-04 20:37:12.362000,2011-02-04 20:37:12.362000,bill,
nv,2010Special26,lower,ACR 1,Adopts the Joint Rules of the Senate and Assembly for the 26th Special Session of the Legislature. (BDR R-1),2011-02-04 20:37:12.382000,2011-02-04 20:37:12.382000,concurrent resolution,
nv,2010Special26,lower,ACR 2,Urges certain actions by school districts and the Nevada System of Higher Education to respond to the current budget shortfall. (BDR R-35),2011-02-04 20:37:12.385000,2011-02-04 20:37:12.385000,concurrent resolution,
nv,2010Special26,lower,AR 1,Adopts the Rules of the Assembly for the 26th Special Session of the Nevada Legislature. (BDR R-3),2011-02-04 20:37:12.364000,2011-02-04 20:37:12.364000,resolution,
nv,2010Special26,lower,AR 2,"Provides that no allowances will be paid for the 26th Special Session of the Nevada Legislature for periodicals, stamps, stationery or communications. (BDR R-7)",2011-02-04 20:37:12.367000,2011-02-04 20:37:12.367000,resolution,
nv,2010Special26,lower,AR 3,Provides for the appointment of attaches. (BDR R-5),2011-02-04 20:37:12.369000,2011-02-04 20:37:12.369000,resolution,
nv,2010Special26,upper,SB 1,Makes an appropriation to the Legislative Fund for the costs of the 26th Special Session. (BDR S-8),2011-02-04 20:37:12.256000,2011-02-04 20:37:12.256000,bill,
nv,2010Special26,upper,SB 2,Eliminates the prohibition on the use of pupil achievement data for the evaluation of teachers and certain other educational personnel. (BDR 34-29),2011-02-04 20:37:12.277000,2011-02-04 20:37:12.277000,bill,
nv,2010Special26,upper,SB 3,Revises provisions relating to governmental administration. (BDR S-16),2011-02-04 20:37:12.284000,2011-02-04 20:37:12.284000,bill,
nv,2010Special26,upper,SB 4,Revises provisions governing the list of preferred prescription drugs to be used for the Medicaid program. (BDR 38-11),2011-02-04 20:37:12.291000,2011-02-04 20:37:12.291000,bill,
nv,2010Special26,upper,SB 5,Provides revenue to create jobs for road construction. (BDR 35-47),2011-02-04 20:37:12.297000,2011-02-04 20:37:12.297000,bill,
nv,2010Special26,upper,SCR 1,Urges local government employers and local government employee organizations to mutually address the impacts of the budget shortfall. (BDR R-38),2011-02-04 20:37:12.322000,2011-02-04 20:37:12.322000,concurrent resolution,
nv,2010Special26,upper,SR 1,Adopts the Rules of the Senate for the 26th Special Session of the Legislature. (BDR R-2),2011-02-04 20:37:12.299000,2011-02-04 20:37:12.299000,resolution,
nv,2010Special26,upper,SR 2,"Provides that no allowances will be paid for the 26th Special Session of the Nevada Legislature for periodicals, stamps, stationery or communications. (BDR R-6)",2011-02-04 20:37:12.313000,2011-02-04 20:37:12.313000,resolution,
