state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
or,2011 Regular Session,lower,HB 2001,"Defines statutory term regarding management of acquired lands designated as state forests, common school forest lands and Elliott State Forest Lands.",2011-06-13 14:46:09.069000,2012-08-28 20:29:11.191000,bill,
or,2011 Regular Session,lower,HB 2002,Requires owner of foreclosed residential real property to provide contact information to neighborhood association or local government official designated to receive contact information.,2011-06-13 14:46:09.065000,2012-08-28 20:29:11.188000,bill,"Housing and Property|Budget, Spending, and Taxes"
or,2011 Regular Session,lower,HB 2003,"Requires state agency that owns real property or operates facilities to establish dedicated account to pay expenses of maintaining, repairing and replacing state agency's real property or facilities.",2011-06-13 14:46:09.061000,2012-08-28 20:29:11.184000,bill,Business and Consumers
or,2011 Regular Session,lower,HB 2004,Authorizes Department of Transportation to issue veterans' recognition registration plates for vehicles registered to owners residing at same address as qualifying veteran.,2011-06-13 14:46:09.057000,2012-08-28 20:29:11.181000,bill,Military
or,2011 Regular Session,lower,HB 2005,Provides that Environmental Quality Commission may not adopt by rule low carbon fuel standards.,2011-06-13 14:46:09.053000,2012-08-28 20:29:11.177000,bill,Environmental
or,2011 Regular Session,lower,HB 2006,"Allows electric utility that is member of Boardman impacted utility to remain small electric utility for purposes of meeting renewable portfolio standard if utility serves no more than 25,000 retail electricity consumers and is located in Umatilla, Morrow or Union County.",2011-06-13 14:46:09.039000,2012-08-28 20:29:11.173000,bill,Commerce|Energy|Health
or,2011 Regular Session,lower,HB 2007,Makes legislative findings regarding water quality.,2011-06-13 14:46:05.557000,2012-08-28 20:28:53.391000,bill,Environmental
or,2011 Regular Session,lower,HB 2008,"Specifies that person or state agency may not produce, raise or release fish that is not native fish unless person or state agency produces, raises or releases fish that is not native fish in waters of this state in area specified in rules adopted by State Fish and Wildlife Commission.",2011-06-13 14:46:05.514000,2012-08-28 20:28:53.217000,bill,Animal Rights and Wildlife Issues
or,2011 Regular Session,lower,HB 2009,Modifies provisions related to marine reserves.,2011-06-13 14:46:09.377000,2012-08-28 20:29:11.603000,bill,Animal Rights and Wildlife Issues|Legal Issues
or,2011 Regular Session,lower,HB 2010,Requires public school to offer students instruction in Mandarin Chinese if school offers students instruction in two or more second languages.,2011-06-13 14:45:59.023000,2012-08-28 20:28:29.125000,bill,State Agencies|Education|Family and Children Issues|Trade
or,2011 Regular Session,lower,HB 2011,Requires state employees who participate in health benefit plans offered by Public Employees' Benefit Board to contribute greater of $50 or five percent of monthly salary or wages to health benefit plan premium costs.,2011-06-17 02:33:41.372000,2012-08-28 20:28:29.130000,bill,Labor and Employment|Public Services|State Agencies
or,2011 Regular Session,lower,HB 2012,Imposes one percent tax on specified providers of residential care and services.,2011-06-13 14:45:58.743000,2012-08-28 20:28:27.399000,bill,
or,2011 Regular Session,lower,HB 2013,Abolishes Advisory Council for Electrologists and Permanent Color Technicians and Tattoo Artists and transfers duties of council to Oregon Health Licensing Agency.,2011-06-13 14:45:58.600000,2012-08-28 20:28:26.217000,bill,State Agencies|Other
