state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
wa,2011-2012,lower,HB 1000,Concerning overseas and service voters.,2011-02-25 17:48:53.345000,2012-11-02 06:44:11.853000,bill,Campaign Finance and Election Issues|Military
wa,2011-2012,lower,HB 1001,Placing restrictions on pro se defendants when questioning witnesses.,2011-02-25 17:48:53.351000,2012-11-02 06:44:11.868000,bill,Legal Issues|Crime
wa,2011-2012,lower,HB 1002,Adopting voting by mail.,2011-02-25 17:48:53.354000,2012-11-02 06:44:11.835000,bill,Campaign Finance and Election Issues|Municipal and County Issues
wa,2011-2012,lower,HB 1003,Establishing energy efficiency standards for consumer products.,2011-02-25 17:48:53.357000,2012-11-02 06:44:11.841000,bill,Commerce|Energy|Technology and Communication
wa,2011-2012,lower,HB 1004,Providing for social emotional learning in public schools.,2011-02-25 17:48:53.361000,2012-11-02 06:44:11.828000,bill,Public Services|Education
wa,2011-2012,lower,HB 1005,Creating a Washington state ferries commission.,2011-02-25 17:48:53.363000,2012-10-18 06:58:37.121000,bill,State Agencies|Transportation
wa,2011-2012,lower,HB 1006,Concerning knives.,2011-02-25 17:48:53.365000,2012-10-18 06:58:37.091000,bill,Legal Issues|Crime
wa,2011-2012,lower,HB 1007,Increasing earned release time for certain offenders prospectively and retroactively.,2011-02-25 17:48:53.367000,2012-11-02 06:44:11.824000,bill,Legal Issues|Crime
wa,2011-2012,lower,HB 1008,"Changing the definition of ""immediate family"" for purpose of membership on the Washington citizens' commission on salaries for elected officials.",2011-02-25 17:48:53.371000,2012-11-02 06:44:11.747000,bill,Labor and Employment|State Agencies|Other
wa,2011-2012,lower,HB 1009,Concerning the authority of certain state agencies to enter into agreements with the federal government under the endangered species act.,2011-02-25 17:48:53.374000,2012-11-02 06:44:11.814000,bill,Recreation|Environmental|State Agencies|Animal Rights and Wildlife Issues
wa,2011-2012,lower,HB 1010,Modifying alternatives to total confinement.,2011-02-25 17:48:53.376000,2012-11-02 06:44:10.361000,bill,Legal Issues|Crime
wa,2011-2012,lower,HB 1011,Concerning earned release time for certain jail inmates.,2011-02-25 17:48:53.378000,2012-10-18 06:58:34.736000,bill,Legal Issues|Crime
wa,2011-2012,lower,HB 1012,Authorizing four-year terms for planning commissioners.,2011-02-25 17:48:53.393000,2012-11-02 06:44:10.371000,bill,Other
wa,2011-2012,lower,HB 1013,"Requiring notice to property owners when a county, city, or town modifies its zoning requirements.",2011-02-25 17:48:53.398000,2012-11-02 06:44:10.364000,bill,Housing and Property|Municipal and County Issues
wa,2011-2012,lower,HB 1014,Modifying the authority of a watershed management partnership.,2011-02-25 17:48:53.404000,2012-11-02 06:44:10.424000,bill,Environmental|Legal Issues
wa,2011-2012,lower,HB 1015,Concerning exemption from immunization.,2011-02-25 17:48:53.413000,2012-11-02 06:44:10.387000,bill,Education|Health|Family and Children Issues
wa,2011-2012,lower,HB 1016,Changing restrictions on firearm noise suppressors.,2011-02-25 17:48:53.423000,2012-11-02 06:44:10.442000,bill,Legal Issues|Guns|Crime
wa,2011-2012,lower,HB 1017,Mandating a twelve-hour impound hold on motor vehicles used by persons arrested for driving under the influence.,2011-02-25 17:48:53.448000,2012-11-02 06:44:10.433000,bill,Transportation
wa,2011-2012,lower,HB 1018,Concerning bicyclist and motorist mutual responsibilities.,2011-02-25 17:48:53.455000,2012-10-18 06:58:34.854000,bill,Transportation
wa,2011-2012,lower,HB 1019,Constraining the department of corrections' authority to transfer offenders out of state.,2011-02-25 17:48:53.463000,2012-11-02 06:44:10.454000,bill,Crime
wa,2011-2012,lower,HB 1020,Continuing availability of fifty percent earned release for certain nonviolent offenders.,2011-02-25 17:48:53.485000,2012-11-02 06:44:09.146000,bill,Legal Issues|Crime
wa,2011-2012,lower,HB 1021,Concerning persons appointed by the court to provide information in family law and adoption cases.,2011-02-25 17:48:53.488000,2012-11-02 06:44:09.152000,bill,Legal Issues|Family and Children Issues
wa,2011-2012,lower,HB 1022,Regulating the postretirement employment of higher education employees.,2011-02-25 17:48:53.492000,2012-10-18 06:58:33.280000,bill,Labor and Employment|Education
wa,2011-2012,lower,HB 1023,Modifying presumed death certificate provisions.,2011-02-25 17:48:53.494000,2012-10-18 06:58:33.322000,bill,Other|Health|Municipal and County Issues
wa,2011-2012,lower,HB 1024,Adding to the scenic and recreational highway system.,2011-02-25 17:48:53.501000,2012-11-02 06:44:09.102000,bill,Transportation
wa,2011-2012,lower,HB 1025,Providing flexibility for school districts.,2011-02-25 17:48:53.505000,2012-11-02 06:44:09.114000,bill,Education|Transportation
wa,2011-2012,lower,HB 1026,Specifying procedures for adverse possession actions.,2011-02-25 17:48:53.511000,2012-11-02 06:44:09.124000,bill,Housing and Property|Other
wa,2011-2012,lower,HB 1027,Regarding public assistance application forms.,2011-02-25 17:48:53.519000,2012-10-18 06:58:33.258000,bill,Public Services
wa,2011-2012,lower,HB 1028,Using state correctional facility populations to determine population thresholds for certain local government purposes.,2012-04-03 19:39:48.282000,2012-11-02 06:44:09.170000,bill,
wa,2011-2012,lower,HB 1029,Restructuring the department of social and health services.,2011-02-25 17:48:53.529000,2012-11-02 06:44:09.186000,bill,State Agencies|Health
